id,x,y,z,tonn,blockvalue,destination,CU%,process_profit,Profit
0,11,0,18,16380,-12285,2,0,0,-12285
1,12,0,18,16380,-12285,2,0,0,-12285
2,13,0,18,16380,-12285,2,0,0,-12285
3,13,1,18,16380,-12285,2,0,0,-12285
4,14,0,18,16380,-12285,2,0,0,-12285
5,14,1,18,16380,-12285,2,0,0,-12285
6,15,1,18,16380,-12285,2,0,0,-12285
7,16,1,18,16380,-12285,2,0,0,-12285
8,7,0,17,16380,-12285,2,0,0,-12285
9,8,0,17,12000,-9000,2,0,0,-9000
10,8,1,17,16380,-12285,2,0,0,-12285
11,9,0,17,12000,-9000,2,0,0,-9000
12,9,1,17,16380,-12285,2,0,0,-12285
13,9,2,17,16380,-12285,2,0,0,-12285
14,10,0,17,12000,-9000,2,0,0,-9000
15,10,1,17,16380,-9000,2,0,0,-9000
16,10,2,17,16380,-12285,2,0,0,-12285
17,10,3,17,16380,-12285,2,0,0,-12285
18,11,0,17,16380,-12285,2,0.017,0,-12285
19,11,1,17,12000,-9000,2,0,0,-9000
20,11,2,17,16380,-12285,2,0,0,-12285
21,11,3,17,16380,-12285,2,0,0,-12285
22,12,0,17,16380,-12285,2,0.017,0,-12285
23,12,1,17,12000,-9000,2,0,0,-9000
24,12,2,17,12000,-9000,2,0,0,-9000
25,12,3,17,16380,-12285,2,0,0,-12285
26,13,0,17,16380,-12285,2,0.017,0,-12285
27,13,1,17,12000,-9000,2,0,0,-9000
28,13,2,17,12000,-9000,2,0,0,-9000
29,13,3,17,16380,-12285,2,0,0,-12285
30,13,4,17,16380,-12285,2,0,0,-12285
31,14,1,17,16380,-12285,2,0.017,0,-12285
32,14,2,17,12000,-9000,2,0,0,-9000
33,14,3,17,16380,-12285,2,0,0,-12285
34,14,4,17,16380,-12285,2,0,0,-12285
35,15,1,17,16380,-12285,2,0.017,0,-12285
36,15,2,17,12000,-9000,2,0,0,-9000
37,15,3,17,16380,-12285,2,0,0,-12285
38,15,4,17,16380,-12285,2,0,0,-12285
39,16,2,17,12000,-9000,2,0,0,-9000
40,16,3,17,16380,-12285,2,0,0,-12285
41,16,4,17,16380,-12285,2,0,0,-12285
42,17,2,17,16380,-12285,2,0.016,0,-12285
43,17,3,17,16380,-12285,2,0,0,-12285
44,17,4,17,16380,-12285,2,0,0,-12285
45,18,3,17,12000,-9000,2,0,0,-9000
46,18,4,17,16380,-12285,2,0,0,-12285
47,19,3,17,12000,-9000,2,0,0,-9000
48,19,4,17,16380,-12285,2,0,0,-12285
49,20,3,17,12000,-9000,2,0,0,-9000
50,20,4,17,16380,-12285,2,0,0,-12285
51,21,3,17,12000,-9000,2,0,0,-9000
52,21,4,17,16380,-12285,2,0,0,-12285
53,22,3,17,12000,-9000,2,0,0,-9000
54,22,4,17,16380,-12285,2,0,0,-12285
55,23,3,17,16380,-12285,2,0,0,-12285
56,23,4,17,16380,-12285,2,0,0,-12285
57,24,3,17,16380,-12285,2,0,0,-12285
58,24,4,17,16380,-12285,2,0,0,-12285
59,25,3,17,16380,-12285,2,0,0,-12285
60,25,4,17,16380,-12285,2,0,0,-12285
61,26,3,17,16380,-12285,2,0,0,-12285
62,26,4,17,16380,-12285,2,0,0,-12285
63,27,3,17,16380,-12285,2,0,0,-12285
64,27,4,17,16380,-12285,2,0,0,-12285
65,28,3,17,16380,-12285,2,0,0,-12285
66,28,4,17,16380,-12285,2,0,0,-12285
67,28,5,17,16380,-12285,2,0,0,-12285
68,29,3,17,16380,-12285,2,0,0,-12285
69,29,4,17,16380,-12285,2,0,0,-12285
70,29,5,17,16380,-12285,2,0,0,-12285
71,30,3,17,16380,-12285,2,0,0,-12285
72,30,4,17,16380,-12285,2,0,0,-12285
73,30,5,17,16380,-12285,2,0,0,-12285
74,31,3,17,16380,-12285,2,0,0,-12285
75,31,4,17,16380,-12285,2,0,0,-12285
76,31,5,17,16380,-12285,2,0,0,-12285
77,32,3,17,16380,-12285,2,0,0,-12285
78,32,4,17,16380,-12285,2,0,0,-12285
79,33,3,17,16380,-12285,2,0,0,-12285
80,33,4,17,16380,-12285,2,0,0,-12285
81,34,3,17,16380,-12285,2,0,0,-12285
82,34,4,17,16380,-12285,2,0,0,-12285
83,35,3,17,16380,-12285,2,0,0,-12285
84,35,4,17,16380,-12285,2,0,0,-12285
85,36,3,17,12000,-9000,2,0,0,-9000
86,36,4,17,16380,-12285,2,0,0,-12285
87,37,3,17,12000,-9000,2,0,0,-9000
88,37,4,17,16380,-12285,2,0,0,-12285
89,37,5,17,16380,-12285,2,0,0,-12285
90,38,3,17,12000,-9000,2,0,0,-9000
91,38,4,17,12000,-9000,2,0,0,-9000
92,38,5,17,16380,-12285,2,0,0,-12285
93,39,3,17,12000,-9000,2,0,0,-9000
94,39,4,17,12000,-9000,2,0,0,-9000
95,39,5,17,16380,-12285,2,0,0,-12285
96,39,6,17,16380,-12285,2,0,0,-12285
97,40,3,17,12000,-9000,2,0,0,-9000
98,40,4,17,16380,-12285,2,0,0,-12285
99,40,5,17,16380,-12285,2,0,0,-12285
100,40,6,17,16380,-12285,2,0,0,-12285
101,41,3,17,12000,-9000,2,0,0,-9000
102,41,4,17,16380,-12285,2,0,0,-12285
103,41,5,17,16380,-12285,2,0,0,-12285
104,41,6,17,16380,-12285,2,0,0,-12285
105,42,5,17,16380,-12285,2,0,0,-12285
106,42,6,17,16380,-12285,2,0,0,-12285
107,43,5,17,16380,-12285,2,0,0,-12285
108,43,6,17,16380,-12285,2,0,0,-12285
109,44,5,17,16380,-12285,2,0,0,-12285
110,44,6,17,16380,-12285,2,0,0,-12285
111,45,5,17,16380,-12285,2,0,0,-12285
112,46,4,17,16380,-12285,2,0,0,-12285
113,46,5,17,16380,-12285,2,0,0,-12285
114,47,4,17,16380,-12285,2,0,0,-12285
115,47,5,17,16380,-12285,2,0,0,-12285
116,48,4,17,16380,-12285,2,0,0,-12285
117,48,5,17,16380,-12285,2,0,0,-12285
118,49,4,17,16380,-12285,2,0,0,-12285
119,49,5,17,16380,-12285,2,0,0,-12285
120,50,4,17,16380,-12285,2,0,0,-12285
121,51,4,17,16380,-12285,2,0,0,-12285
122,4,1,16,16380,-12285,2,0,0,-12285
123,5,1,16,16380,-12285,2,0,0,-12285
124,5,2,16,16380,-12285,2,0,0,-12285
125,6,1,16,12000,-9000,2,0,0,-9000
126,6,2,16,16380,-12285,2,0,0,-12285
127,6,3,16,16380,-12285,2,0,0,-12285
128,6,4,16,16380,-12285,2,0,0,-12285
129,7,1,16,12000,-9000,2,0,0,-9000
130,7,2,16,12000,-9000,2,0,0,-9000
131,7,3,16,16380,-12285,2,0,0,-12285
132,7,4,16,16380,-12285,2,0,0,-12285
133,7,5,16,16380,-12285,2,0,0,-12285
134,8,1,16,16260,19579.27067,1,0.348,31774.27067,19579.27067
135,8,2,16,12000,-9000,2,0,0,-9000
136,8,3,16,12000,-9000,2,0,0,-9000
137,8,4,16,16380,-12285,2,0,0,-12285
138,8,5,16,16380,-12285,2,0,0,-12285
139,9,1,16,16260,26596.26285,1,0.381,38791.26285,26596.26285
140,9,2,16,16260,47062.82114,1,0.475,59257.82114,47062.82114
141,9,3,16,16260,70535.79547,1,0.583,82730.79547,70535.79547
142,9,4,16,12000,-9000,2,0,0,-9000
143,9,5,16,16380,-12285,2,0,0,-12285
144,9,6,16,16380,-12285,2,0,0,-12285
145,10,1,16,16380,-12285,2,0.019,0,-12285
146,10,2,16,16260,57660.03514,1,0.526,69855.03514,57660.03514
147,10,3,16,16260,82416.49211,1,0.638,94611.49211,82416.49211
148,10,4,16,16260,93874.41477,1,0.693,106069.4148,93874.41477
149,10,5,16,16380,-12285,2,0,0,-12285
150,10,6,16,16380,-12285,2,0,0,-12285
151,11,1,16,16380,-12285,2,0.017,0,-12285
152,11,2,16,16260,68969.95814,1,0.579,81164.95814,68969.95814
153,11,3,16,16260,94729.05915,1,0.696,106924.0592,94729.05915
154,11,4,16,16260,105182.8217,1,0.746,117377.8217,105182.8217
155,11,5,16,16380,-12285,2,0,0,-12285
156,11,6,16,16380,-12285,2,0,0,-12285
157,12,1,16,16380,-12285,2,0.017,0,-12285
158,12,2,16,16260,79422.20462,1,0.628,91617.20462,79422.20462
159,12,3,16,16260,106182.4336,1,0.75,118377.4336,106182.4336
160,12,4,16,16260,115491.6167,1,0.795,127686.6167,115491.6167
161,12,5,16,12000,-9000,2,0,0,-9000
162,12,6,16,16380,-12285,2,0,0,-12285
163,12,7,16,16380,-12285,2,0,0,-12285
164,13,1,16,16380,-12285,2,0.017,0,-12285
165,13,2,16,16380,-12285,2,0.017,0,-12285
166,13,3,16,16260,114772.8435,1,0.79,126967.8435,114772.8435
167,13,4,16,16260,123079.3826,1,0.83,135274.3826,123079.3826
168,13,5,16,12000,-9000,2,0,0,-9000
169,13,6,16,16380,-12285,2,0,0,-12285
170,13,7,16,16380,-12285,2,0,0,-12285
171,14,2,16,16380,-12285,2,0.017,0,-12285
172,14,3,16,16260,119065.7743,1,0.81,131260.7743,119065.7743
173,14,4,16,16260,126513.1208,1,0.845,138708.1208,126513.1208
174,14,5,16,12000,-9000,2,0,0,-9000
175,14,6,16,16380,-12285,2,0,0,-12285
176,14,7,16,16380,-12285,2,0,0,-12285
177,14,8,16,16380,-12285,2,0,0,-12285
178,15,2,16,16380,-12285,2,0.017,0,-12285
179,15,3,16,16260,120065.3862,1,0.813,132260.3862,120065.3862
180,15,4,16,16260,127082.3784,1,0.847,139277.3784,127082.3784
181,15,5,16,12000,-9000,2,0,0,-9000
182,15,6,16,12000,-9000,2,0,0,-9000
183,15,7,16,16380,-12285,2,0,0,-12285
184,15,8,16,16380,-12285,2,0,0,-12285
185,16,3,16,16260,128220.8935,1,0.85,140415.8935,128220.8935
186,16,4,16,16260,126220.1536,1,0.842,138415.1536,126220.1536
187,16,5,16,16260,124509.3488,1,0.836,136704.3488,124509.3488
188,16,6,16,12000,-9000,2,0,0,-9000
189,16,7,16,16380,-12285,2,0,0,-12285
190,16,8,16,16380,-12285,2,0,0,-12285
191,16,9,16,16380,-12285,2,0,0,-12285
192,17,3,16,16260,125785.2511,1,0.838,137980.2511,125785.2511
193,17,4,16,16260,125643.3157,1,0.838,137838.3157,125643.3157
194,17,5,16,16260,128223.9256,1,0.851,140418.9256,128223.9256
195,17,6,16,12000,-9000,2,0,0,-9000
196,17,7,16,16380,-12285,2,0,0,-12285
197,17,8,16,16380,-12285,2,0,0,-12285
198,17,9,16,16380,-12285,2,0,0,-12285
199,18,4,16,16260,124495.7042,1,0.831,136690.7042,124495.7042
200,18,5,16,16260,127363.217,1,0.846,139558.217,127363.217
201,18,6,16,12000,-9000,2,0,0,-9000
202,18,7,16,16380,-12285,2,0,0,-12285
203,18,8,16,16380,-12285,2,0,0,-12285
204,18,9,16,16380,-12285,2,0,0,-12285
205,19,4,16,16260,124494.1881,1,0.831,136689.1881,124494.1881
206,19,5,16,16260,127503.6363,1,0.846,139698.6363,127503.6363
207,19,6,16,12000,-9000,2,0,0,-9000
208,19,7,16,16380,-12285,2,0,0,-12285
209,19,8,16,16380,-12285,2,0,0,-12285
210,20,4,16,16260,125637.2514,1,0.835,137832.2514,125637.2514
211,20,5,16,16140,52959.13637,1,0.45,65064.13637,52959.13637
212,20,6,16,12000,-9000,2,0,0,-9000
213,20,7,16,16380,-12285,2,0,0,-12285
214,20,8,16,16380,-12285,2,0,0,-12285
215,20,9,16,16380,-12285,2,0,0,-12285
216,21,4,16,16260,122490.4161,1,0.822,134685.4161,122490.4161
217,21,5,16,16140,57777.91706,1,0.468,69882.91706,57777.91706
218,21,6,16,12000,-9000,2,0,0,-9000
219,21,7,16,16380,-12285,2,0,0,-12285
220,21,8,16,16380,-12285,2,0,0,-12285
221,21,9,16,16380,-12285,2,0,0,-12285
222,22,4,16,16260,121776.191,1,0.819,133971.191,121776.191
223,22,5,16,16140,61604.46305,1,0.482,73709.46305,61604.46305
224,22,6,16,12000,-9000,2,0,0,-9000
225,22,7,16,12000,-9000,2,0,0,-9000
226,22,8,16,16380,-12285,2,0,0,-12285
227,22,9,16,16380,-12285,2,0,0,-12285
228,23,4,16,16380,-12285,2,0.021,0,-12285
229,23,5,16,16140,63448.04454,1,0.489,75553.04454,63448.04454
230,23,6,16,12000,-9000,2,0,0,-9000
231,23,7,16,12000,-9000,2,0,0,-9000
232,23,8,16,16380,-12285,2,0,0,-12285
233,23,9,16,16380,-12285,2,0,0,-12285
234,24,4,16,16140,48714.44138,1,0.436,60819.44138,48714.44138
235,24,5,16,12000,-9000,2,0,0,-9000
236,24,6,16,12000,-9000,2,0,0,-9000
237,24,7,16,12000,-9000,2,0,0,-9000
238,24,8,16,16380,-12285,2,0,0,-12285
239,24,9,16,16380,-12285,2,0,0,-12285
240,24,10,16,16380,-12285,2,0,0,-12285
241,25,4,16,16140,185450.9823,1,1.093,197555.9823,185450.9823
242,25,5,16,12000,-9000,2,0,0,-9000
243,25,6,16,12000,-9000,2,0,0,-9000
244,25,7,16,12000,-9000,2,0,0,-9000
245,25,8,16,16380,-12285,2,0,0,-12285
246,25,9,16,16380,-12285,2,0,0,-12285
247,25,10,16,16380,-12285,2,0,0,-12285
248,26,4,16,16140,189286.5575,1,1.111,201391.5575,189286.5575
249,26,5,16,12000,-9000,2,0,0,-9000
250,26,6,16,12000,-9000,2,0,0,-9000
251,26,7,16,12000,-9000,2,0,0,-9000
252,26,8,16,16380,-12285,2,0,0,-12285
253,26,9,16,16380,-12285,2,0,0,-12285
254,26,10,16,16380,-12285,2,0,0,-12285
255,27,4,16,12000,-9000,2,0,0,-9000
256,27,5,16,12000,-9000,2,0,0,-9000
257,27,6,16,12000,-9000,2,0,0,-9000
258,27,7,16,12000,-9000,2,0,0,-9000
259,27,8,16,12000,-9000,2,0,0,-9000
260,27,9,16,16380,-12285,2,0,0,-12285
261,27,10,16,16380,-12285,2,0,0,-12285
262,27,11,16,16380,-12285,2,0,0,-12285
263,27,12,16,16380,-12285,2,0,0,-12285
264,27,13,16,16380,-12285,2,0,0,-12285
265,28,4,16,12000,-9000,2,0,0,-9000
266,28,5,16,12000,-9000,2,0,0,-9000
267,28,6,16,16140,181708.7096,1,1.11,193813.7096,181708.7096
268,28,7,16,12000,-9000,2,0,0,-9000
269,28,8,16,12000,-9000,2,0,0,-9000
270,28,9,16,16380,-12285,2,0,0,-12285
271,28,10,16,16380,-12285,2,0,0,-12285
272,28,11,16,16380,-12285,2,0,0,-12285
273,28,12,16,16380,-12285,2,0,0,-12285
274,28,13,16,16380,-12285,2,0,0,-12285
275,29,4,16,16140,190431.7192,1,1.119,202536.7192,190431.7192
276,29,5,16,12000,-9000,2,0,0,-9000
277,29,6,16,16140,173481.5319,1,1.076,185586.5319,173481.5319
278,29,7,16,12000,-9000,2,0,0,-9000
279,29,8,16,12000,-9000,2,0,0,-9000
280,29,9,16,12000,-9000,2,0,0,-9000
281,29,10,16,16380,-12285,2,0,0,-12285
282,29,11,16,16380,-12285,2,0,0,-12285
283,29,12,16,16380,-12285,2,0,0,-12285
284,30,4,16,16140,185043.3674,1,1.098,197148.3674,185043.3674
285,30,5,16,16140,176850.802,1,1.077,188955.802,176850.802
286,30,6,16,16140,161980.8256,1,1.025,174085.8256,161980.8256
287,30,7,16,12000,-9000,2,0,0,-9000
288,30,8,16,12000,-9000,2,0,0,-9000
289,30,9,16,12000,-9000,2,0,0,-9000
290,30,10,16,12000,-9000,2,0,0,-9000
291,30,11,16,16380,-12285,2,0,0,-12285
292,30,12,16,16380,-12285,2,0,0,-12285
293,30,15,16,16380,-12285,2,0,0,-12285
294,30,16,16,16380,-12285,2,0,0,-12285
295,31,4,16,16140,167428.8017,1,1.017,179533.8017,167428.8017
296,31,5,16,16140,161360.0886,1,1.004,173465.0886,161360.0886
297,31,6,16,16140,146071.9632,1,0.953,158176.9632,146071.9632
298,31,7,16,12000,-9000,2,0,0,-9000
299,31,8,16,12000,-9000,2,0,0,-9000
300,31,9,16,12000,-9000,2,0,0,-9000
